file_name,A,P,S,n_frames,max_bodies,too_fast_torso,is_interaction
S001C001P001R002A057.skeleton.npy,57,1,1,87,2,False,True
S001C001P001R002A056.skeleton.npy,56,1,1,68,2,False,True
S001C001P001R001A021.skeleton.npy,21,1,1,78,1,True,False
S001C001P001R002A055.skeleton.npy,55,1,1,76,2,True,True
S001C001P001R002A005.skeleton.npy,5,1,1,68,1,False,False
S001C001P001R002A054.skeleton.npy,54,1,1,64,2,False,True
S001C001P001R001A036.skeleton.npy,36,1,1,92,1,False,False
S001C001P001R001A015.skeleton.npy,15,1,1,177,1,True,False
S001C001P001R002A053.skeleton.npy,53,1,1,93,2,False,True
S001C001P001R002A052.skeleton.npy,52,1,1,70,2,False,True
S001C001P002R002A025.skeleton.npy,25,2,1,129,1,False,False
S001C001P001R001A029.skeleton.npy,29,1,1,131,2,False,False
S001C001P001R002A051.skeleton.npy,51,1,1,76,2,False,True
S001C001P001R002A050.skeleton.npy,50,1,1,74,2,False,True
S001C001P001R001A014.skeleton.npy,14,1,1,161,1,True,False
S001C001P001R002A007.skeleton.npy,7,1,1,94,1,True,False
S001C001P001R001A025.skeleton.npy,25,1,1,106,2,False,False
S001C001P001R001A006.skeleton.npy,6,1,1,75,1,True,False
S001C001P001R002A049.skeleton.npy,49,1,1,90,1,False,False
S001C001P001R002A004.skeleton.npy,4,1,1,116,1,False,False
S001C001P001R002A048.skeleton.npy,48,1,1,83,1,True,False
S001C001P001R001A035.skeleton.npy,35,1,1,78,1,True,False
S001C001P001R002A047.skeleton.npy,47,1,1,108,1,False,False
S001C001P001R001A003.skeleton.npy,3,1,1,104,1,False,False
S001C001P001R002A046.skeleton.npy,46,1,1,80,1,False,False
S001C001P001R002A003.skeleton.npy,3,1,1,89,1,False,False
S001C001P001R002A045.skeleton.npy,45,1,1,102,1,False,False
S001C001P001R002A008.skeleton.npy,8,1,1,79,1,False,False
S001C001P001R002A044.skeleton.npy,44,1,1,92,1,False,False
S001C001P001R002A010.skeleton.npy,10,1,1,65,1,False,False
S001C001P001R001A013.skeleton.npy,13,1,1,63,1,False,False
S001C001P001R001A030.skeleton.npy,30,1,1,85,1,False,False
S001C001P001R002A043.skeleton.npy,43,1,1,78,1,True,False
S001C001P001R001A033.skeleton.npy,33,1,1,94,1,False,False
S001C001P001R002A042.skeleton.npy,42,1,1,129,1,False,False
S001C001P001R002A041.skeleton.npy,41,1,1,62,1,False,False
S001C001P001R001A034.skeleton.npy,34,1,1,91,1,False,False
S001C001P001R002A040.skeleton.npy,40,1,1,57,1,False,False
S001C001P001R001A005.skeleton.npy,5,1,1,54,1,False,False
S001C001P001R001A020.skeleton.npy,20,1,1,111,1,True,False
S001C001P001R002A039.skeleton.npy,39,1,1,75,1,False,False
S001C001P001R002A038.skeleton.npy,38,1,1,57,1,False,False
S001C001P001R001A012.skeleton.npy,12,1,1,102,1,False,False
S001C001P001R002A037.skeleton.npy,37,1,1,110,1,False,False
S001C001P001R002A036.skeleton.npy,36,1,1,76,1,False,False
S001C001P001R001A038.skeleton.npy,38,1,1,104,1,False,False
S001C001P001R002A035.skeleton.npy,35,1,1,86,1,True,False
S001C001P001R001A028.skeleton.npy,28,1,1,108,2,False,False
S001C001P001R002A034.skeleton.npy,34,1,1,83,1,False,False
S001C001P001R001A019.skeleton.npy,19,1,1,76,1,False,False
S001C001P001R002A033.skeleton.npy,33,1,1,83,1,False,False
S001C001P001R001A031.skeleton.npy,31,1,1,84,1,False,False
S001C001P001R001A001.skeleton.npy,1,1,1,103,1,False,False
S001C001P001R001A045.skeleton.npy,45,1,1,82,1,False,False
S001C001P001R002A032.skeleton.npy,32,1,1,90,1,False,False
S001C001P001R002A031.skeleton.npy,31,1,1,93,1,False,False
S001C001P001R002A030.skeleton.npy,30,1,1,136,1,False,False
S001C001P001R002A029.skeleton.npy,29,1,1,112,1,False,False
S001C001P001R001A011.skeleton.npy,11,1,1,82,1,False,False
S001C001P001R002A028.skeleton.npy,28,1,1,129,1,False,False
S001C001P001R002A027.skeleton.npy,27,1,1,83,1,False,False
S001C001P001R002A026.skeleton.npy,26,1,1,94,1,False,False
S001C001P001R002A025.skeleton.npy,25,1,1,108,1,False,False
S001C001P001R001A027.skeleton.npy,27,1,1,87,2,False,False
S001C001P001R002A024.skeleton.npy,24,1,1,97,1,False,False
S001C001P001R002A006.skeleton.npy,6,1,1,86,1,True,False
S001C001P001R002A023.skeleton.npy,23,1,1,72,1,False,False
S001C001P001R001A023.skeleton.npy,23,1,1,67,1,False,False
S001C001P001R002A022.skeleton.npy,22,1,1,97,1,False,False
S001C001P001R002A021.skeleton.npy,21,1,1,88,1,True,False
S001C001P001R002A020.skeleton.npy,20,1,1,104,1,True,False
S001C001P001R002A019.skeleton.npy,19,1,1,82,1,False,False
S001C001P001R002A018.skeleton.npy,18,1,1,84,1,False,False
S001C001P001R001A039.skeleton.npy,39,1,1,84,1,False,False
S001C001P001R001A010.skeleton.npy,10,1,1,69,1,False,False
S001C001P001R002A017.skeleton.npy,17,1,1,127,1,True,False
S001C001P001R001A026.skeleton.npy,26,1,1,103,2,False,False
S001C001P001R002A002.skeleton.npy,2,1,1,111,1,False,False
S001C001P001R001A007.skeleton.npy,7,1,1,86,1,True,False
S001C001P001R002A001.skeleton.npy,1,1,1,80,1,False,False
S001C001P001R001A043.skeleton.npy,43,1,1,85,1,False,False
S001C001P001R001A060.skeleton.npy,60,1,1,93,2,True,True
S001C001P001R001A059.skeleton.npy,59,1,1,99,2,False,True
S001C001P001R001A058.skeleton.npy,58,1,1,71,2,False,True
S001C001P001R001A024.skeleton.npy,24,1,1,78,2,False,False
S001C001P001R001A017.skeleton.npy,17,1,1,134,1,False,False
S001C001P001R001A057.skeleton.npy,57,1,1,93,2,False,True
S001C001P001R001A056.skeleton.npy,56,1,1,115,2,False,True
S001C001P001R002A011.skeleton.npy,11,1,1,109,1,False,False
S001C001P001R001A055.skeleton.npy,55,1,1,95,2,False,True
S001C001P001R002A009.skeleton.npy,9,1,1,80,1,False,False
S001C001P001R002A016.skeleton.npy,16,1,1,149,1,True,False
S001C001P001R001A054.skeleton.npy,54,1,1,69,2,False,True
S001C001P001R001A018.skeleton.npy,18,1,1,96,1,False,False
S001C001P001R001A009.skeleton.npy,9,1,1,67,1,False,False
S001C001P001R001A053.skeleton.npy,53,1,1,133,2,False,True
S001C001P001R001A032.skeleton.npy,32,1,1,100,1,False,False
S001C001P001R001A052.skeleton.npy,52,1,1,74,2,False,True
S001C001P001R002A015.skeleton.npy,15,1,1,170,1,True,False
S001C001P001R001A051.skeleton.npy,51,1,1,72,2,False,True
S001C001P001R001A050.skeleton.npy,50,1,1,74,2,False,True
S001C001P001R001A040.skeleton.npy,40,1,1,76,1,False,False
S001C001P001R001A049.skeleton.npy,49,1,1,85,1,False,False
S001C001P001R001A008.skeleton.npy,8,1,1,71,1,False,False
S001C001P001R001A037.skeleton.npy,37,1,1,109,1,False,False
S001C001P001R002A012.skeleton.npy,12,1,1,103,1,False,False
S001C001P001R001A041.skeleton.npy,41,1,1,109,1,False,False
